key,ceo_effect_list,point_change_per_turn_if_active,title,description,icon_path,opinion_topic_modifier
3k_cp01_ceo_node_guo_jias_armour_unique_01,3k_cp01_ceo_node_guo_jias_armour_unique_01,0,Guo Jia's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_main_ancillary_guo_jia_armour_unique.png,
3k_cp01_ceo_node_huang_gais_armour_unique_01,3k_cp01_ceo_node_huang_gais_armour_unique_01,0,Huang Gai's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_main_ancillary_huang_gai_armour_unique.png,
3k_cp01_ceo_node_jia_xus_armour_unique_01,3k_cp01_ceo_node_jia_xus_armour_unique_01,0,Jia Xu's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_main_ancillary_jia_xu_armour_unique.png,
3k_cp01_ceo_node_pang_tongs_armour_unique_01,3k_cp01_ceo_node_pang_tongs_armour_unique_01,0,Pang Tong's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_main_ancillary_pang_tong_armour_unique.png,
3k_dlc04_ancillary_accessory_calligraphy_set_unique,3k_dlc04_ancillary_accessory_calligraphy_set_unique,0,Calligraphy Set,Well-formed prose has a beauty all its own and confers authority upon its author.,accessories/3k_dlc04_ancillary_accessory_calligraphy_set_unique.png,
3k_dlc04_ancillary_accessory_nushe_bifa_unique,3k_dlc04_ancillary_accessory_nushe_bifa_unique,0,Nushe Bifa,"""The whole assembly is called ji, for it is just as ingenious as the loom.""",accessories/3k_dlc04_ancillary_accessory_nushe_bifa_unique.png,
3k_dlc04_ancillary_accessory_religious_bell_unique,3k_dlc04_ancillary_accessory_religious_bell_unique,0,Religious Bell,The bell calls the faithful to peaceful contemplation of the world and their place in it.,accessories/3k_dlc04_ancillary_accessory_religious_bell_unique.png,
3k_dlc04_ancillary_accessory_zhang_liang_unique,3k_dlc04_ancillary_accessory_zhang_liang_unique,0,Zhang Liang's Garland,"These beads are used to count recitations and breaths, that their wearer may find harmony in the Way.",accessories/3k_dlc04_ancillary_accessory_zhang_liang_unique.png,
3k_dlc04_ancillary_apprentice_crafter,3k_dlc04_ancillary_follower_apprentice_crafter,0,Apprentice Crafter,"Though yet to gain the benefits that storied experience brings, he nevertheless is skilled in constructing battlefield defences, and can pass that knowledge on to others.",followers/3k_main_ancillary_adept.png,
3k_dlc04_ancillary_armour_diao_chans_armour_unique_01,3k_dlc04_ancillary_armour_diao_chans_armour_unique,0,Diao Chan's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_diao_chan_armour_unique.png,
3k_dlc04_ancillary_armour_emperor_ling_armour_unique,3k_dlc04_ancillary_armour_emperor_ling_armour_unique,0,The Emperor's Robes,"These grand robes were made with consummate skill, befitting the one who bears the burden of Heaven's Mandate.",armours/3k_dlc04_ancillary_armour_emperor_ling_armour_unique.png,
3k_dlc04_ancillary_armour_empress_hes_armour_unique,3k_dlc04_ancillary_armour_empress_hes_armour_unique,0,Empress He's Robes,"Luxurious robes, fit for those who do not tread the battlefield.",armours/3k_dlc04_ancillary_armour_empress_he_armour_unique.png,
3k_dlc04_ancillary_armour_he_jins_armour_unique,3k_dlc04_ancillary_armour_he_jins_armour_unique,0,He Jin's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_he_jins_armour_unique.png,
3k_dlc04_ancillary_armour_huangfu_songs_armour_unique,3k_dlc04_ancillary_armour_huangfu_songs_armour_unique,0,Huangfu Song's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_huangfu_songs_armour_unique.png,
3k_dlc04_ancillary_armour_lu_zhis_armour_unique,3k_dlc04_ancillary_armour_lu_zhis_armour_unique,0,Lu Zhi's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_lu_zhis_armour_unique.png,
3k_dlc04_ancillary_armour_non_deployable_armour_red_common,3k_dlc04_ancillary_armour_non_deployable_armour_red_common,0,Courtier's Robes,"Luxurious robes, fit for those who do not tread the battlefield.",armours/3k_dlc04_ancillary_armour_eunuch_2_armour_unique.png,
3k_dlc04_ancillary_armour_non_deployable_armour_red_refined,3k_dlc04_ancillary_armour_non_deployable_armour_red_refined,0,Attendant's Robes,"Luxurious robes, fit for those who do not tread the battlefield.",armours/3k_dlc04_ancillary_armour_eunuch_1_armour_unique.png,
3k_dlc04_ancillary_armour_non_deployable_armour_yellow_common,3k_dlc04_ancillary_armour_non_deployable_armour_yellow_common,0,Minister's Robes,"Luxurious robes, fit for those who do not tread the battlefield.",armours/3k_dlc04_ancillary_armour_eunuch_3_armour_unique.png,
3k_dlc04_ancillary_armour_prince_liu_chongs_armour_unique,3k_dlc04_ancillary_armour_prince_liu_chongs_armour_unique,0,Prince Liu Chong's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_prince_liu_chongs_armour_unique.png,
3k_dlc04_ancillary_armour_xun_yus_armour_unique_01,3k_dlc04_ancillary_armour_xun_yus_armour_unique,0,Xun Yu's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_xun_yu_armour_unique.png,
3k_dlc04_ancillary_armour_zhang_baos_armour_unique,3k_dlc04_ancillary_armour_zhang_baos_armour_unique,0,Zhang Bao's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_zhang_baos_armour_unique.png,
3k_dlc04_ancillary_armour_zhang_jues_armour_unique,3k_dlc04_ancillary_armour_zhang_jues_armour_unique,0,Zhang Jue's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_zhang_jues_armour_unique.png,
3k_dlc04_ancillary_armour_zhang_liangs_armour_unique,3k_dlc04_ancillary_armour_zhang_liangs_armour_unique,0,Zhang Liang's Armour,"The perfect weight and fit, tailored for this warrior of class and distinction.",armours/3k_dlc04_ancillary_armour_zhang_liangs_armour_unique.png,
3k_dlc04_ancillary_master_crafter,3k_dlc04_ancillary_follower_master_crafter,0,Master Crafter,"A veteran of the wars that almost tore the kingdom apart, this man is both a masterful battlefield engineer and a more-than-competent instructor in his area.",followers/3k_main_ancillary_adept.png,
3k_dlc04_ancillary_mount_liu_chong,3k_dlc04_ancillary_mount_liu_chong,0,Ebon Prince,"A fine horse, fit for a king.",mounts/3k_dlc04_ancillary_mount_liu_chong.png,
3k_dlc04_ancillary_weapon_bow_huangfu_song_unique,3k_dlc04_ancillary_weapon_bow_huangfu_song_unique,0,Huangfu Song's Bow,"The bow that Huangfu Song wields may be an antique, but it remains a stunning example of the form, and will greatly assist him in putting down the Yellow Turban scum.",weapons/3k_dlc04_ancillary_weapon_bow_huangfu_song_unique.png,
3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique,3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique,0,Prince Liu Chong's Crossbow,"The prince is highly skilled in the use of the crossbow, to the extent where he has authored the 'Nushe Bifa', an instructional treatise.",weapons/3k_dlc04_ancillary_weapon_crossbow_prince_liu_chong_unique.png,
3k_dlc04_ancillary_weapon_staff_zhang_jue_unique,3k_dlc04_ancillary_weapon_staff_zhang_jue_unique,0,Zhang Jue's Staff,"Is it a mere staff or a tool for sorcery? Rumours persist, but they cannot harm Zhang Jue, for hearsay and myth work in the rebel leader's favour.",weapons/3k_dlc04_ancillary_weapon_staff_zhang_jue_unique.png,
3k_dlc04_ceo_factional_great_library_authority_common_01,3k_dlc04_ceo_factional_great_library_authority_common_01,0,Dongguan Hanji,"""...and in rode the Orange Cavalry, seeking to arrest the lawbreaker.""\n\n{{tr:3k_dlc04_great_library_authority_common_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_authority_01.png,
3k_dlc04_ceo_factional_great_library_authority_exceptional_01,3k_dlc04_ceo_factional_great_library_authority_exceptional_01,0,Huainanzi,"""If appropriate personnel are appointed, then the realm is well-governed.""\n\n{{tr:3k_dlc04_great_library_authority_exceptional_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_authority_03.png,
3k_dlc04_ceo_factional_great_library_authority_refined_01,3k_dlc04_ceo_factional_great_library_authority_refined_01,0,Records of the Grand Historian,"""I myself have travelled west as far as Kongtong, north past Zhuolu, east to the sea, and in the south I have sailed the Yellow and Huai rivers.""\n\n{{tr:3k_dlc04_great_library_authority_refined_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_authority_02.png,
3k_dlc04_ceo_factional_great_library_authority_unique_01,3k_dlc04_ceo_factional_great_library_authority_unique_01,0,The Book of Lord Shang,The law is an expression of love for the people.\n\n{{tr:3k_dlc04_great_library_authority_unique_unlock}},great_library/3k_dlc04_ancillary_factional_great_library_authority_04.png,
3k_dlc04_ceo_factional_great_library_cunning_common_01,3k_dlc04_ceo_factional_great_library_cunning_common_01,0,Book of Changes,"The topmost line, divided, shows its subject, amidst the startling movements, in breathless dismay and looking round him with trembling apprehension. If he takes action, there will be evil.\n\n{{tr:3k_dlc04_great_library_cunning_common_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_cunning_01.png,
3k_dlc04_ceo_factional_great_library_cunning_exceptional_01,3k_dlc04_ceo_factional_great_library_cunning_exceptional_01,0,The Writings on Reckoning,This treatise represents the true authority on mathematics; from fractions to factorisation.\n\n{{tr:3k_dlc04_great_library_cunning_exceptional_unlock}},great_library/3k_dlc04_ancillary_factional_great_library_cunning_03.png,
3k_dlc04_ceo_factional_great_library_cunning_refined_01,3k_dlc04_ceo_factional_great_library_cunning_refined_01,0,Classic of Poetry,"""With volume vast, the waters flow, but still within their channel run.""\n\n{{tr:3k_dlc04_great_library_cunning_refined_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_cunning_02.png,
3k_dlc04_ceo_factional_great_library_cunning_unique_01,3k_dlc04_ceo_factional_great_library_cunning_unique_01,0,Book of Rites,"""When sitting by a person of rank, if he began to yawn and stretch himself, to turn round his tablet, to play with the head of his sword, to move his shoes about, or to ask about the time of day, one might ask leave to retire.""\n\n{{tr:3k_dlc04_great_library_cunning_unique_unlock}}",great_library/3k_dlc04_ancillary_factional_great_library_cunning_04.png,
