CharId,title,description,Uniqueness,FamilyName,FirstName,CourtesyName
3k_dlc04_ceo_node_career_historical_bao_dan_01,"{'zh': '纯儒之士', 'en': 'Complete Confucian'}","{'zh': '「若论文学造诣，我定不落于人后。但若是躬行君子，我未可称也。」', 'en': '""In literature, perhaps I am equal to others. But I cannot manifest the behaviour of the noble man.""'}",,,,
3k_dlc04_ceo_node_career_historical_beigong_boyu_01,"{'zh': '义从胡酋', 'en': 'The Loyal Barbarian'}","{'zh': '颇具讽刺的是，此人统帅义胡却反抗皇帝，毫无忠义可言。', 'en': 'Ironically, this one has proven anything but loyal by raising his standard against the emperor.'}",,,,
3k_dlc04_ceo_node_career_historical_bi_lan_01,"{'zh': '铸钟南宫', 'en': 'Architect of the Southern Palace'}","{'zh': '「前楼若完工，必是一美景，其可转水入宫！」', 'en': '""Once complete, the Anterior Pavillion will be a delight to behold – it\'ll even have a water feature!""'}",,,,
3k_dlc04_ceo_node_career_historical_bian_zhang_01,"{'zh': '有志官吏', 'en': 'Aspiring Official'}","{'zh': '渴求飞黄腾达之人，往往比他人……在道德方面更加“灵活”。', 'en': ""He who aspires to greater personal advancement tends to be more... 'morally flexible' than his peers.""}",,,,
3k_dlc04_ceo_node_career_historical_bo_cai_01,"{'zh': '众人领袖', 'en': 'Marshal of Men'}","{'zh': '有些人生来便是领导他人的……尤其喜欢身先士卒，为属下以身作则。', 'en': 'Some people are born to lead others… and preferably from the very front, as an example to their followers.'}",,,,
3k_dlc04_ceo_node_career_historical_cai_yong_bojie_01,"{'zh': '旷世逸才', 'en': 'Ritual Master'}","{'zh': '此人熟知手上政务的方方面面，是其所选领域内的大师。', 'en': 'This one knows every aspect of the procedures he has been tasked with administrating, becoming a master in his chosen field.'}",,,,
3k_dlc04_ceo_node_career_historical_cao_de_01,"{'zh': '忠诚子嗣', 'en': 'Loyal Son'}","{'zh': '曹嵩之子定会忠于其家族，赴汤蹈火，在所不辞。', 'en': 'The offspring of Cao Song has remained loyal to his family through thick and thin.'}",,,,
3k_dlc04_ceo_node_career_historical_cao_song_jugao_01,"{'zh': '雄心巨贾', 'en': 'Ambitious Tycoon'}","{'zh': '对于决心建功立业的实干家来说，为了获取真正的实权，付出任何代价都不算什么。', 'en': 'For the determined entrepreneur, no price is too high for the acquisition of real, workable power.'}",,,,
3k_dlc04_ceo_node_career_historical_chen_deng_yuanlong_01,"{'zh': '湖海之士', 'en': 'Man For All Seasons'}","{'zh': '偶尔，仅仅是偶尔，权力并未堕落至腐败，而是结出了有利他人和普罗慈善的果实。', 'en': 'Sometimes, just sometimes, power fails to corrupt, and instead leads to altruism and charity.'}",,,,
3k_dlc04_ceo_node_career_historical_chen_gui_hanyu_01,"{'zh': '才华洋溢', 'en': 'Abundant Talent'}","{'zh': '此人的才能早在青年时期便崭露头角，并持之以恒，如同永远处于仲春的繁花般盛开。', 'en': ""This man's gifts were noted at a young age and he continues to blossom, as if perpetually held in spring's sweet bloom.""}",,,,
3k_dlc04_ceo_node_career_historical_chen_su_01,"{'zh': '因父得名', 'en': 'Living Legacy'}","{'zh': '说是家传之才也好，裙带关系也好，就看你是相信人性本善还是本恶了。', 'en': 'You can call it inherited ability or mere nepotism, depending on the level of your cynicism.'}",,,,
3k_dlc04_ceo_node_career_historical_cheng_qiu_01,"{'zh': '无耻谋士', 'en': 'Unscrupulous Advisor'}","{'zh': '天下没有免费的午餐。', 'en': 'Everything has a price it seems.'}",,,,
3k_dlc04_ceo_node_career_historical_diao_chan_01,"{'zh': '红颜祸水', 'en': 'Deadly Beauty'}","{'zh': '貂蝉利用其倾国绝色来隐藏其心中的抱负，是为能搅动风云，推翻暴政之人。', 'en': 'Diao Chan uses her enchanting beauty to hide her ambition; one which can topple tyrants.'}",,,,
